title,company,location,salary,url,date_posted,description,skills,source
Data Analyst,The Walt Disney Company,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4235365221?position=1&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=dVyCVmBx4mc1w08ei2VL1w%3D%3D,2 days ago,,,LinkedIn
Data Analyst,Universal Music Group,"Beverly Hills, CA",,https://www.linkedin.com/jobs/view/data-analyst-at-universal-music-group-4223678879?position=2&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=IoPXe%2F%2BvWctrofd5dlWreg%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,The Walt Disney Company,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-4232140858?position=3&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=g7YwLU2Ee24eEoUEvkhk8w%3D%3D,1 week ago,,,LinkedIn
Data Analyst III,Vimeo,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-iii-at-vimeo-4230221998?position=4&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=yF0e%2BoTsZFxhs8F2dmd7Tw%3D%3D,5 days ago,,,LinkedIn
Data Analyst,Infosys,"Austin, TX",,https://www.linkedin.com/jobs/view/data-analyst-at-infosys-4223033016?position=5&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=8RkJz2hrBfbzbHCWlAB2hg%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst Intern,Fizz,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-intern-at-fizz-4228719663?position=6&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=7M1yjM%2BwRM%2FiWAX3iqA29Q%3D%3D,1 week ago,,,LinkedIn
"Data Analyst, People Development",Meta,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-people-development-at-meta-4222679767?position=7&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=kvhczZyvSKRBn9Qa8%2FEHsg%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,Vert,"New York, NY",,https://www.linkedin.com/jobs/view/data-analyst-at-vert-4223787132?position=8&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=1ppnxVZ41B03KZsxpEhWgQ%3D%3D,2 weeks ago,,,LinkedIn
Data Analyst,ING Americas,New York City Metropolitan Area,,https://www.linkedin.com/jobs/view/data-analyst-at-ing-americas-4233939828?position=9&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=FMD3ba%2BfW72pPfkLMRdXKQ%3D%3D,1 day ago,,,LinkedIn
"Data & Analytics, Analyst",TikTok,"Los Angeles, CA",,https://www.linkedin.com/jobs/view/data-analytics-analyst-at-tiktok-4229290561?position=10&pageNum=0&refId=UWqn0OEn6wDdMuIwKP1mPQ%3D%3D&trackingId=Y5zD2wzsIWodUEDjJMI3eQ%3D%3D,1 week ago,,,LinkedIn
